,Name,Address,Beds,Baths,sqft,Rent,Amenities,Distance by vehicle,Time taken by car,Time taken by walk,Distance by walk,Cost Per Person
0,3232 E Raintree Dr,"3232 E Raintree Dr, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",3.9,11,71,3.6,265
1,1720 S Lowry St,"1720 S Lowry St, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",2.2,8,39,1.9,265
2,2900 E 6th Ave #39,"2900 E 6th Ave #39, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",3.6,11,64,3.2,265
3,1715 S Chester St,"1715 S Chester St, Stillwater, OK 74074",1,1,1216,650,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",2.7,9,49,2.4,650
4,1812 S Lowry St,"1812 S Lowry St, Stillwater, OK 74074",3,2,1188,623,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",2.2,8,39,1.9,207.67
5,3803 N Monroe St,"3803 N Monroe St, Stillwater, OK 74075",2,1,1050,900,"Heating: Forced Air, Other, Heating Fuel: Forced Air, Additional Storage, Storage, Ceiling Fan, Dishwasher, Disposal, Refrigerator, Floors: Linoleum Vinyl",2.9,8,54,2.8,450
6,2405 E 7th Ave,"2405 E 7th Ave, Stillwater, OK 74074",2,2,960,685,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",3.1,9,55,2.8,342.5
7,2806 E Raintree Dr,"2806 E Raintree Dr, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",4,11,73,3.7,265
8,3302 E Raintree Dr,"3302 E Raintree Dr, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",3.9,11,73,3.6,265
9,2520 E 7th St #17,"2520 E 7th St #17, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",3.3,10,59,3,265
10,1402 S Main St,"1402 S Main St, Stillwater, OK 74074",1,1,450,825,Floors: Unknown,2,7,34,1.7,825
11,3027 E Raintree Dr,"3027 E Raintree Dr, Stillwater, OK 74074",3,2,960,795,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Refrigerator",3.7,10,69,3.5,265
12,1400 N Perkins Rd #B9,"1400 N Perkins Rd #B9, Stillwater, OK 74075",2,1.5,1124,750,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Additional Storage, Storage, Dishwasher, Dryer, Washer",2.2,9,41,2,375
13,103 E 32nd Ave,"103 E 32nd Ave, Stillwater, OK 74074",5,2.5,,2500,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer",3.4,9,62,3.1,500
14,1108 S Prairie Rd,"1108 S Prairie Rd, Stillwater, OK 74074",3,2,,2500,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",6.3,13,117,6,833.33
15,2421 S Western Rd,"2421 S Western Rd, Stillwater, OK 74074",5,3,2100,2500,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Additional Storage, Attic, Storage, Ceiling Fan, Dishwasher, Disposal, Dryer, Refrigerator, Washer, Fireplace, Double Paned Windows, Floors: Tile, Hardwood",2.9,8,56,2.8,500
16,1019 S McDonald St,"1019 S McDonald St, Stillwater, OK 74074",3,2,1616,1500,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",1.4,5,29,1.4,500
17,1017 S Main St #1,"1017 S Main St #1, Stillwater, OK 74074",1,1,700,525,"Heating: Forced Air, Heating Fuel: Forced Air",1.7,7,29,1.4,525
18,304 S Lowry St,"304 S Lowry St, Stillwater, OK 74074",3,2,904,1400,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer",1.7,6,21,1,466.67
19,924 S Kings St,"924 S Kings St, Stillwater, OK 74074",5,2,2409,3000,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer, Fireplace",1.5,5,29,1.5,600
20,1316 N Ramsey St,"1316 N Ramsey St, Stillwater, OK 74075",5,3,2538,3000,"Heating: Forced Air, Gas, Heating Fuel: Forced Air, Attic, Ceiling Fan, Dryer, Washer, Jetted Bath Tub, Double Paned Windows, Disabled Access, Floors: Hardwood, Security System",1.2,4,21,1,600
21,1126 S Husband St,"1126 S Husband St, Stillwater, OK 74074",4,4,1836,2000,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer",1.7,6,29,1.4,500
22,2310 E 12th Ave,"2310 E 12th Ave, Stillwater, OK 74074",2,2,1100,900,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",3.4,10,61,3.1,450
23,409 S Debra Ct,"409 S Debra Ct, Stillwater, OK 74078",2,2,1150,1300,"Heating: Forced Air, Heating Fuel: Forced Air, Dryer, Washer, Floors: Hardwood",3.8,10,71,3.5,650
24,927 E Krayler Ave,"927 E Krayler Ave, Stillwater, OK 74075",3,2,1278,1500,"Heating: Forced Air, Air Conditioning, Heating Fuel: Forced Air, Attic, Ceiling Fan, Dryer, Washer, Floors: Tile, Linoleum Vinyl",2.7,9,50,2.5,500
25,230 S West St,"230 S West St, Stillwater, OK 74074",5,3,2042,1750,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer, Floors: Hardwood",0.9,4,10,0.5,350
26,106 W Burris Rd,"106 W Burris Rd, Stillwater, OK 74075",3,2,2428,1900,"Heating: Forced Air, Heating Fuel: Forced Air, Dishwasher, Dryer, Washer, Disabled Access",5.2,10,99,5,633.33
0,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1,512,755,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,755
1,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1,424,785,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,785
2,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1,610,825,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,825
3,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",1,1,626,895,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,895
4,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",2,1,727,995,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,497.5
5,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",2,2,877,1095,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,547.5
6,Apple Creek Apartments - Newly Remodeled!,"1200 N Perkins Rd, Stillwater, OK 74075",2,2,978,1150,"Community-Wide WiFi, Clubhouse, Shuttle To Campus, Laundry Facilities, Pool, Walk To Campus, Planned Social Activities, Courtyard, Public Transportation, Grill",2.2 miles,10 Min,40 Min,2.0 Miles,575
7,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",1,1,496,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
8,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",2,2,916,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
9,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",2,2,934,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
10,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",2,2,998,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
11,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",2,2,1192,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
12,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",3,3,1169,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
13,Midtown at Stillwater Apartments,"801 W 4th Ave, Stillwater, OK 74074",3,3,1427,,"Wi-Fi at Pool and Clubhouse, 24 Hour Availability, Planned Social Activities, Controlled Access, Furnished Units Available, Maintenance on site, Trash Pickup - Door to Door, Elevator, Lounge, Clubhouse, Multi Use Room, Fitness Center, Bike Storage, Pool, Volleyball Court, Roof Terrace, Cabana, Grill, Sundeck, Courtyard",0.9 miles,5 Min,10 Min,0.6 Miles,
